id,name_key,name_ru,kcal100,prot100,fat100,carb100,default_portion_g
1,buckwheat_boiled,Гречка отварная,110,410,110,2130,150
2,buckwheat_groats_dry,Гречневая крупа сухая,308,1260,330,5710,60
3,rice_white_boiled,Рис белый отварной,116,220,20,2500,150
4,rice_white_dry,Рис белый сухой,344,670,70,7890,70
5,rice_brown_boiled,Рис бурый отварной,123,270,100,2560,150
6,oatmeal_water_boiled,Овсянка на воде,88,300,170,1500,200
7,oatmeal_milk_boiled,Овсяная каша на молоке,105,330,410,1420,250
8,oat_flakes_dry,Овсяные хлопья сухие (геркулес),352,1230,620,6180,50
9,pearl_barley_boiled,Перловка отварная,110,300,40,2230,150
10,millet_porridge_water_boiled,Пшённая каша на воде,90,300,70,1700,200
11,bulgur_boiled,Булгур отварной,83,310,20,1860,150
12,quinoa_boiled,Киноа отварная,120,440,190,2130,150
13,semolina_porridge_milk_boiled,Манная каша на молоке,98,300,320,1530,250
14,pasta_boiled,Макароны отварные,131,500,90,2600,200
15,pasta_dry,Макароны сухие,344,1040,110,6970,80
16,bread_white_wheat,Хлеб белый пшеничный,242,760,80,4920,60
17,bread_rye_dark,Хлеб ржаной (чёрный),210,660,120,4100,60
18,bread_wholegrain,Хлеб цельнозерновой,240,1000,350,4000,60
19,baton_wheat_sliced,Батон нарезной,264,750,290,5090,50
20,lavash_thin,Лаваш тонкий,236,790,100,4760,80
21,crispbread_rye,Хлебцы ржаные,310,1100,200,5700,30
22,rusks_wheat_dry,Сухари пшеничные,331,1120,140,7240,40
23,muesli_dry,Мюсли сухие,360,1000,700,6600,50
24,granola_baked,Гранола,470,1000,1900,6200,50
101,chicken_breast_boiled,Куриная грудка,150,2950,350,0,150
102,chicken_breast_fried,Куриная грудка жареная,195,3000,800,100,150
104,chicken_thigh_baked,Куриное бедро запечённое,232,2330,1470,0,130
105,chicken_drumstick_baked,Куриная голень запечённая,216,2700,1120,0,120
106,chicken_wings_baked,Куриные крылышки запечённые,290,2690,1950,0,150
107,chicken_grilled,Курица гриль,240,2200,1700,0,200
108,turkey_breast_baked,Филе индейки запечённое,145,2950,250,0,150
109,beef_boiled,Говядина отварная,220,2600,1250,0,150
110,beef_fried,Говядина жареная,260,2900,1500,0,150
111,pork_fried,Свинина жареная,350,2400,2800,0,150
112,ground_beef_fried,Фарш говяжий жареный,250,2550,1600,0,150
113,ground_pork_fried,Фарш свиной жареный,330,2200,2700,0,150
114,meat_cutlet_fried,Котлета мясная жареная,280,1500,2000,1000,100
115,beef_steak_grilled,Стейк говяжий (гриль),290,2500,2100,0,200
116,pork_shashlik_grilled,Шашлык свиной,300,2200,2400,0,250
117,chicken_liver_fried,Печень куриная жареная,210,2200,1100,200,150
118,beef_liver_fried,Печень говяжья жареная,199,2290,1020,390,150
119,bacon_fried,Бекон жареный,540,3700,4200,140,30
120,ham_cooked,Ветчина,250,1600,2000,100,50
121,sausage_doctorskaya_boiled,Колбаса варёная (докторская),257,1280,2220,150,60
122,sausages_boiled,Сосиски отварные,266,1100,2390,160,100
123,sardelki_boiled,Сардельки отварные,215,1000,1850,150,100
124,salami_dry_cured,Салями,500,2100,4500,100,40
201,salmon_baked,Лосось запечённый,202,2200,1250,0,150
202,salmon_salted,Сёмга слабосолёная,202,2250,1250,0,50
203,trout_baked,Форель запечённая,165,2300,750,0,150
204,cod_boiled,Треска отварная,98,2200,90,0,150
205,pollock_fried,Минтай жареный,130,1700,600,350,150
206,tuna_canned_in_water,Тунец консервированный в собственном соку,108,2350,100,0,100
207,herring_salted,Сельдь солёная,217,1980,1540,0,80
208,mackerel_smoked,Скумбрия копчёная,221,2070,1550,0,100
209,shrimp_boiled,Креветки отварные,95,2000,130,0,150
210,squid_boiled,Кальмар отварной,105,2100,220,0,150
211,caviar_red,Икра красная,251,3160,1380,0,30
212,egg_chicken_boiled,Яйцо,157,1270,1060,110,120
213,egg_fried,Яичница глазунья,243,1290,2090,90,120
214,omelette_with_milk,Омлет с молоком,184,960,1540,190,180
215,beans_boiled,Фасоль отварная,127,870,50,2280,150
216,beans_canned,Фасоль консервированная,99,670,30,1740,150
217,chickpeas_boiled,Нут отварной,164,890,260,2740,150
218,lentils_boiled,Чечевица отварная,116,900,40,2010,150
219,champignons_fried,Шампиньоны жареные,76,370,580,170,150
220,walnut_raw,Грецкий орех,654,1520,6520,1370,30
221,almond_raw,Миндаль,579,2120,4990,2160,30
222,peanut_roasted,Арахис жареный,587,2440,4970,2150,30
223,cashew_raw,Кешью,553,1820,4390,3020,30
224,sunflower_seeds_roasted,Семечки подсолнечные жареные,582,1930,4980,2410,50
301,milk_2_5_percent,"Молоко 2,5%",52,280,250,470,200
302,milk_3_2_percent,"Молоко 3,2%",59,290,320,470,200
303,kefir_1_percent,Кефир 1%,40,280,100,400,250
304,kefir_2_5_percent,"Кефир 2,5%",50,280,250,390,250
305,ryazhenka_fermented_baked_milk_4_percent,Ряженка 4%,67,290,400,420,250
306,yogurt_natural_unsweetened_3_2_percent,"Йогурт натуральный 3,2%",66,500,320,350,150
307,yogurt_drinkable_fruit_sweetened,Йогурт питьевой фруктовый,70,280,150,1200,250
308,cottage_cheese_nonfat_0_percent,Творог обезжиренный 0%,76,1650,50,180,150
309,cottage_cheese_5_percent,Творог 5%,121,1720,500,180,150
310,cottage_cheese_9_percent,Творог 9%,159,1670,900,200,150
311,sour_cream_15_percent,Сметана 15%,158,260,1500,300,30
312,sour_cream_20_percent,Сметана 20%,206,280,2000,320,30
313,cream_10_percent,Сливки 10%,118,300,1000,400,30
314,cream_20_percent,Сливки 20%,205,280,2000,370,30
315,cheese_hard_russian_50_percent,Сыр твёрдый (российский),364,2320,2950,30,30
316,cheese_processed_spreadable,Сыр плавленый,290,1300,2400,350,30
317,cheese_mozzarella_in_brine,Моцарелла,240,1800,1800,100,50
318,cheese_brynza_feta_brined,Брынза (фета),260,1790,2010,40,40
319,butter_82_5_percent,"Масло сливочное 82,5%",748,50,8250,80,10
320,ice_cream_plombir,Мороженое пломбир,227,320,1500,2040,100
321,condensed_milk_sweetened,Молоко сгущённое с сахаром,320,720,850,5600,30
322,protein_shake_whey_prepared_water,Протеиновый коктейль на воде (готовый),35,720,50,90,300
401,potato_boiled,Картофель отварной,86,200,10,1850,200
402,potato_fried,Картофель жареный,192,280,950,2340,180
403,potato_mashed,Пюре картофельное,106,220,330,1560,200
404,carrot_raw,Морковь,35,130,10,690,80
406,beet_boiled,Свёкла отварная,48,180,20,1010,100
407,cabbage_white_fresh,Капуста белокочанная свежая,28,180,10,470,150
408,cabbage_stewed,Капуста тушёная,75,200,330,900,200
409,broccoli_boiled,Брокколи отварная,35,240,40,550,150
410,cucumber_fresh,Огурец свежий,15,80,10,280,100
411,tomato_fresh,Помидор свежий,20,100,20,390,120
412,bell_pepper_fresh,Перец болгарский свежий,27,130,30,520,100
413,onion_raw,Лук репчатый сырой,41,140,20,830,50
414,zucchini_stewed,Кабачок тушёный,60,100,350,550,200
415,avocado_fresh,Авокадо,160,200,1470,860,100
416,lettuce_leaf_fresh,Салат листовой,15,140,20,230,50
417,dill_fresh,Укроп свежий,40,250,50,630,10
418,banana_fresh,Банан,95,150,50,2150,120
