generic_id,unit,grams
1,стакан,200
2,стакан,200
3,стакан,200
4,стакан,200
5,стакан,200
6,стакан,200
7,стакан,250
8,стакан,90
9,стакан,200
10,стакан,200
11,стакан,180
12,стакан,180
13,стакан,250
16,ломтик,30
16,кусок,30
17,ломтик,30
17,кусок,30
18,ломтик,30
18,кусок,30
19,ломтик,25
19,кусок,25
20,шт,90
21,шт,10
22,шт,12
23,стакан,90
24,стакан,100
101,шт,150
101,кусок,100
102,шт,150
104,шт,110
105,шт,90
106,шт,35
107,кусок,100
108,кусок,120
109,кусок,80
110,кусок,90
111,кусок,100
114,шт,90
115,шт,200
116,шампур,200
116,кусок,45
117,шт,30
118,кусок,80
119,ломтик,10
120,ломтик,20
121,ломтик,20
122,шт,50
123,шт,100
124,ломтик,10
201,кусок,150
202,ломтик,20
203,кусок,150
204,кусок,150
205,кусок,100
206,банка,150
207,кусок,40
208,кусок,50
211,ч.л.,7
211,ст.л.,20
212,шт,60
213,шт,60
216,банка,240
220,горсть,30
221,горсть,30
222,горсть,30
223,горсть,30
224,горсть,30
301,стакан,200
301,кружка,250
302,стакан,200
302,кружка,250
303,стакан,200
303,кружка,250
304,стакан,200
304,кружка,250
305,стакан,200
305,кружка,250
306,баночка,125
306,ст.л.,25
307,бутылка,270
307,стакан,200
308,пачка,180
308,ст.л.,25
309,пачка,180
309,ст.л.,25
310,пачка,180
310,ст.л.,25
311,ст.л.,25
311,ч.л.,10
312,ст.л.,25
312,ч.л.,10
313,ст.л.,15
313,ч.л.,5
314,ст.л.,15
314,ч.л.,5
315,ломтик,25
315,кусок,30
316,ломтик,20
316,ст.л.,20
317,ломтик,25
317,шарик,125
318,кусок,30
318,ломтик,20
319,ч.л.,5
319,ст.л.,17
319,кусочек,10
320,шт,80
320,шарик,50
321,ст.л.,30
321,ч.л.,12
322,стакан,250
322,шейкер,300
401,шт,100
404,шт,80
406,шт,150
410,шт,100
411,шт,120
412,шт,130
413,шт,90
415,шт,150
417,пучок,30
418,шт,120
419,шт,180
420,шт,180
421,шт,150
422,шт,60
423,шт,75
424,горсть,70
425,шт,15
425,горсть,70
426,кусок,250
501,ст.л.,17
501,ч.л.,5
502,ст.л.,17
502,ч.л.,5
503,ст.л.,25
503,ч.л.,8
504,ст.л.,18
504,ч.л.,6
505,ст.л.,16
505,ч.л.,5
506,ч.л.,5
506,ст.л.,20
506,кусок,6
507,ч.л.,8
507,ст.л.,25
508,ч.л.,9
508,ст.л.,28
509,кусок,5
510,кусок,5
511,шт,13
512,шт,12
513,шт,15
514,кусок,100
515,шт,60
518,стакан,250
518,шт,330
519,стакан,250
520,стакан,200
521,стакан,200
522,стакан,250
523,стакан,250
523,шт,500
524,бокал,150
608,шт,15
609,шт,30
611,шт,120
621,кусок,120
622,кусок,120
623,шт,220
624,шт,200
625,шт,300
626,шт,150
627,пачка,150
628,шт,18
629,шт,60
630,шт,60
631,шт,35
632,стакан,250
632,бутылка,500
633,стакан,250
634,стакан,250
1001,ст.л.,40
1002,ст.л.,40
1003,ст.л.,40
1006,ст.л.,40
1007,ст.л.,40
1008,ст.л.,35
1009,ст.л.,35
1010,ст.л.,25
1011,ст.л.,30
1012,шт,80
1013,ст.л.,30
1013,стакан,150
1014,ст.л.,25
1014,банка,200
1015,шт,5
1015,банка,180
1016,кусок,20
1017,кусок,150
1018,кусок,150
1019,ст.л.,25
1019,банка,100
1020,шт,50
1021,шт,55
1022,шт,25
1023,шт,20
1024,ст.л.,30
1024,банка,350
1025,ст.л.,30
1025,банка,350
1026,ст.л.,30
1027,ст.л.,25
1028,ст.л.,30
1029,ст.л.,40
1030,ст.л.,40
1033,ст.л.,35
1034,ст.л.,35
1035,ст.л.,35
1036,ст.л.,30
1036,банка,200
1037,шт,30
1038,кусок,15
1039,ст.л.,40
1040,шт,30
1041,ст.л.,30
1042,ст.л.,35
1043,шарик,30
1044,ст.л.,40
1045,ст.л.,40
1101,шт,150
1104,шт,50
1105,ст.л.,25
1105,банка,250
1106,шт,25
1107,кусок,150
1112,ст.л.,30
1115,кусок,150
1120,шт,75
1123,шт,50
1128,шт,75
1133,горсть,60
1134,ст.л.,25
1134,банка,250
1135,шт,150
1136,пучок,200
1140,ст.л.,20
1141,шт,150
1143,горсть,30
1145,шт,75
1203,шт,50
1204,шт,130
1205,кусок,40
1206,шт,150
1207,шт,130
1210,кусок,60
1216,кусок,75
1217,шт,75
1218,шампур,100
1220,шт,60
1222,шт,180
1225,шт,75
1231,шт,180
1232,шт,180
1235,кусок,120
1239,шт,15
1241,шт,25
1241,пачка,200
1242,банка,240
1243,банка,160
1243,шт,15
1244,банка,325
1245,банка,120
1245,ст.л.,20
1301,шт,75
1302,шт,75
1303,шт,80
1304,шт,75
1305,шт,75
1306,шт,100
1307,шт,130
1308,шт,120
1309,шт,130
1310,шт,400
1311,кусок,100
1311,шт,400
1312,шт,250
1312,кусок,60
1313,кусок,80
1314,кусок,40
1315,шт,80
1316,шт,100
1317,шт,90
1318,шт,100
1319,кусок,150
1320,шт,120
1321,шт,90
1322,кусок,100
1323,кусок,100
1324,кусок,100
1325,шт,250
1326,кусок,150
1327,кусок,150
1328,кусок,150
1329,кусок,150
1330,кусок,150
1331,кусок,120
1332,шт,70
1333,шт,10
1333,горсть,30
1334,шт,7
1334,пачка,100
1335,горсть,25
1335,пачка,40
1337,шт,150
1338,шт,150
1339,шт,120
1340,шт,160
1341,шт,180
1342,шт,40
1343,шт,60
1344,шт,60
1345,шт,90
1401,шт,70
1402,шт,70
1402,кусок,60
1403,шт,80
1404,шт,70
1405,шт,20
1406,кусок,120
1407,кусок,110
1408,кусок,110
1409,кусок,110
1410,кусок,110
1411,кусок,100
1412,шт,80
1413,шт,35
1414,шт,20
1415,шт,12
1415,горсть,40
1416,ст.л.,25
1416,кусок,30
1417,кусок,50
1418,шт,15
1419,шт,30
1420,шт,30
1421,кусок,50
1422,шт,70
1423,шт,45
1424,шт,15
1425,шт,60
1426,шт,80
1427,шт,50
1428,шт,45
1429,шт,7
1430,шт,6
